"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","consent_response","consent_timestamp","task","phase","word_root","is_plural","suffix_shown","condition","subject_id","correct_word","foil_word","correct_index","correct","points_total","species","image","correct_species","is_novel","rep","dup_button_index","nup_button_index","correct_suffix","chosen_suffix","chose_nup","gulu_button_index","norl_button_index","chosen_species","chose_norl"
"html-button-response","4804","<div class=""consent-text"" style=""max-height: 60vh; overflow-y: auto; padding-right: 8px;""> <h2>Consent Agreement</h2>
    <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> 
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","0","2.1.0","4812","agree","2026-05-21T21:24:07.967Z","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","7464","
    <div class=""instr-box"">
      <h1>Alien Language Study</h1>
      <p>Welcome, and thank you for taking part in this study.</p>
      <p>In this experiment, you will learn a short <strong>alien language</strong>. You will first practise the words, then learn how different alien species use them.</p>
      <p>The study takes about <strong>40–50 minutes</strong>. Please make sure you are in a quiet place and will not be interrupted.</p>
      <p>Click <strong>Continue</strong> when you are ready to begin.</p>
    </div>","0","1","2.1.0","12277","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3900","
    <div class=""instr-box"">
      <h2>Part 1: Learning the language</h2>
      <p>You will see alien words paired with pictures of objects.</p>
      <ul>
        <li>First, <strong>memorise</strong> each word and its meaning.</li>
        <li>Then you will be tested with <strong>multiple-choice questions</strong>. Choose the correct word for each picture.</li>
        <li>You will receive feedback after each answer.</li>
      </ul>
      <p>Click <strong>Start</strong> to begin.</p>
    </div>","0","2","2.1.0","16179","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3427","
      <div class=""trial-box"">
        <div class=""word-display"">neseldup</div>
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
      </div>","0","3","2.1.0","19608","","","passive_exposure","stage1","nesel","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2569","
      <div class=""trial-box"">
        <div class=""word-display"">maqubdup</div>
        <img src=""images/maqub_plur.png"" class=""stim-image"" alt=""maqub_plur.png"">
      </div>","0","4","2.1.0","22178","","","passive_exposure","stage1","maqub","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","3711","
      <div class=""trial-box"">
        <div class=""word-display"">jemulok</div>
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
      </div>","0","5","2.1.0","25891","","","passive_exposure","stage1","jemulok","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2312","
      <div class=""trial-box"">
        <div class=""word-display"">firot</div>
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
      </div>","0","6","2.1.0","28204","","","passive_exposure","stage1","firot","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","6344","
      <div class=""trial-box"">
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","7","2.1.0","34550","","","forced_choice","stage1","nesel","true","","NoExposure","dw3o65molr","neseldup","nelesdup","1","true","1","","","","","","","","","","","","","",""
"html-button-response","1158","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>neseldup</strong></p>
        </div>","0","8","2.1.0","35709","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2091","
      <div class=""trial-box"">
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","9","2.1.0","37802","","","forced_choice","stage1","firot","false","","NoExposure","dw3o65molr","firot","fitor","1","true","2","","","","","","","","","","","","","",""
"html-button-response","781","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>firot</strong></p>
        </div>","0","10","2.1.0","38584","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","4972","
      <div class=""trial-box"">
        <img src=""images/maqub_plur.png"" class=""stim-image"" alt=""maqub_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","11","2.1.0","43558","","","forced_choice","stage1","maqub","true","","NoExposure","dw3o65molr","maqubdup","mabuqdup","1","false","2","","","","","","","","","","","","","",""
"html-button-response","850","
        <div class=""trial-box feedback-box feedback-incorrect"">
          <p>✗ Incorrect</p>
          <p>The correct answer was: <strong>maqubdup</strong></p>
        </div>","0","12","2.1.0","44409","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","3274","
      <div class=""trial-box"">
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","13","2.1.0","47685","","","forced_choice","stage1","jemulok","false","","NoExposure","dw3o65molr","jemulok","jelumok","0","true","3","","","","","","","","","","","","","",""
"html-button-response","825","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>jemulok</strong></p>
        </div>","0","14","2.1.0","48512","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2883","
      <div class=""trial-box"">
        <div class=""word-display"">tugan</div>
        <img src=""images/tugan_sing.png"" class=""stim-image"" alt=""tugan_sing.png"">
      </div>","0","15","2.1.0","51396","","","passive_exposure","stage1","tugan","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","4505","
      <div class=""trial-box"">
        <div class=""word-display"">takolesdup</div>
        <img src=""images/takoles_plur.png"" class=""stim-image"" alt=""takoles_plur.png"">
      </div>","0","16","2.1.0","55902","","","passive_exposure","stage1","takoles","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","4685","
      <div class=""trial-box"">
        <div class=""word-display"">wumosdup</div>
        <img src=""images/wumos_plur.png"" class=""stim-image"" alt=""wumos_plur.png"">
      </div>","0","17","2.1.0","60589","","","passive_exposure","stage1","wumos","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","3219","
      <div class=""trial-box"">
        <div class=""word-display"">nesel</div>
        <img src=""images/nesel_sing.png"" class=""stim-image"" alt=""nesel_sing.png"">
      </div>","0","18","2.1.0","63809","","","passive_exposure","stage1","nesel","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","5673","
      <div class=""trial-box"">
        <img src=""images/wumos_plur.png"" class=""stim-image"" alt=""wumos_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","19","2.1.0","69483","","","forced_choice","stage1","wumos","true","","NoExposure","dw3o65molr","wumosdup","womusdup","1","true","4","","","","","","","","","","","","","",""
"html-button-response","818","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>wumosdup</strong></p>
        </div>","0","20","2.1.0","70302","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2943","
      <div class=""trial-box"">
        <img src=""images/tugan_sing.png"" class=""stim-image"" alt=""tugan_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","21","2.1.0","73246","","","forced_choice","stage1","tugan","false","","NoExposure","dw3o65molr","tugan","tagun","1","true","5","","","","","","","","","","","","","",""
"html-button-response","771","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>tugan</strong></p>
        </div>","0","22","2.1.0","74019","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2552","
      <div class=""trial-box"">
        <img src=""images/nesel_sing.png"" class=""stim-image"" alt=""nesel_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","23","2.1.0","76572","","","forced_choice","stage1","nesel","false","","NoExposure","dw3o65molr","nesel","neles","0","true","6","","","","","","","","","","","","","",""
"html-button-response","718","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>nesel</strong></p>
        </div>","0","24","2.1.0","77291","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","6024","
      <div class=""trial-box"">
        <img src=""images/takoles_plur.png"" class=""stim-image"" alt=""takoles_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","25","2.1.0","83316","","","forced_choice","stage1","takoles","true","","NoExposure","dw3o65molr","takolesdup","katolesdup","1","true","7","","","","","","","","","","","","","",""
"html-button-response","734","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>takolesdup</strong></p>
        </div>","0","26","2.1.0","84052","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","4977","
      <div class=""trial-box"">
        <div class=""word-display"">sehilod</div>
        <img src=""images/sehilod_sing.png"" class=""stim-image"" alt=""sehilod_sing.png"">
      </div>","0","27","2.1.0","89029","","","passive_exposure","stage1","sehilod","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","3241","
      <div class=""trial-box"">
        <div class=""word-display"">hiwendup</div>
        <img src=""images/hiwen_plur.png"" class=""stim-image"" alt=""hiwen_plur.png"">
      </div>","0","28","2.1.0","92271","","","passive_exposure","stage1","hiwen","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2839","
      <div class=""trial-box"">
        <div class=""word-display"">nuwikdup</div>
        <img src=""images/nuwik_plur.png"" class=""stim-image"" alt=""nuwik_plur.png"">
      </div>","0","29","2.1.0","95112","","","passive_exposure","stage1","nuwik","true","dup","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","3507","
      <div class=""trial-box"">
        <div class=""word-display"">laniz</div>
        <img src=""images/laniz_sing.png"" class=""stim-image"" alt=""laniz_sing.png"">
      </div>","0","30","2.1.0","98620","","","passive_exposure","stage1","laniz","false","null","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","4478","
      <div class=""trial-box"">
        <img src=""images/hiwen_plur.png"" class=""stim-image"" alt=""hiwen_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","31","2.1.0","103099","","","forced_choice","stage1","hiwen","true","","NoExposure","dw3o65molr","hiwendup","wihendup","1","false","7","","","","","","","","","","","","","",""
"html-button-response","1128","
        <div class=""trial-box feedback-box feedback-incorrect"">
          <p>✗ Incorrect</p>
          <p>The correct answer was: <strong>hiwendup</strong></p>
        </div>","0","32","2.1.0","104228","","","feedback","stage1","","","","NoExposure","dw3o65molr","","","","","","","","","","","","","","","","","","",""
"html-button-response","2164","
      <div class=""trial-box"">
        <img src=""images/laniz_sing.png"" class=""stim-image"" alt=""laniz_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","33","2.1.0","106394","","","forced_choice","stage1","laniz","false","","NoExposure","dw3o65molr","laniz","lazin","0","true","8","","","","","","","","","","","","","",""
