"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","consent_response","consent_timestamp","task","phase","word_root","is_plural","suffix_shown","condition","subject_id","correct_word","foil_word","correct_index","correct","points_total","species","image","correct_species","is_novel","rep","dup_button_index","nup_button_index","correct_suffix","chosen_suffix","chose_nup","gulu_button_index","norl_button_index","chosen_species","chose_norl"
"html-button-response","3088","<div class=""consent-text"" style=""max-height: 60vh; overflow-y: auto; padding-right: 8px;""> <h2>Consent Agreement</h2>
    <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> 
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","0","2.1.0","3097","agree","2026-05-21T21:16:02.370Z","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3974","
    <div class=""instr-box"">
      <h1>Alien Language Study</h1>
      <p>Welcome, and thank you for taking part in this study.</p>
      <p>In this experiment, you will learn a short <strong>alien language</strong>. You will first practise the words, then learn how different alien species use them.</p>
      <p>The study takes about <strong>40–50 minutes</strong>. Please make sure you are in a quiet place and will not be interrupted.</p>
      <p>Click <strong>Continue</strong> when you are ready to begin.</p>
    </div>","0","1","2.1.0","7073","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","14","
    <div class=""instr-box"">
      <h2>Part 1: Learning the language</h2>
      <p>You will see alien words paired with pictures of objects.</p>
      <ul>
        <li>First, <strong>memorise</strong> each word and its meaning.</li>
        <li>Then you will be tested with <strong>multiple-choice questions</strong>. Choose the correct word for each picture.</li>
        <li>You will receive feedback after each answer.</li>
      </ul>
      <p>Click <strong>Start</strong> to begin.</p>
    </div>","0","2","2.1.0","7089","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","5023","
      <div class=""trial-box"">
        <div class=""word-display"">takoles</div>
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
      </div>","0","3","2.1.0","12113","","","passive_exposure","stage1","takoles","false","null","NoExposure","23yqor5uvd","","","","","","","","","","","","","","","","","","",""
"html-button-response","3743","
      <div class=""trial-box"">
        <div class=""word-display"">nuwik</div>
        <img src=""images/nuwik_sing.png"" class=""stim-image"" alt=""nuwik_sing.png"">
      </div>","0","4","2.1.0","15857","","","passive_exposure","stage1","nuwik","false","null","NoExposure","23yqor5uvd","","","","","","","","","","","","","","","","","","",""
"html-button-response","5479","
      <div class=""trial-box"">
        <div class=""word-display"">maqubdup</div>
        <img src=""images/maqub_plur.png"" class=""stim-image"" alt=""maqub_plur.png"">
      </div>","0","5","2.1.0","21337","","","passive_exposure","stage1","maqub","true","dup","NoExposure","23yqor5uvd","","","","","","","","","","","","","","","","","","",""
"html-button-response","3799","
      <div class=""trial-box"">
        <div class=""word-display"">hiwendup</div>
        <img src=""images/hiwen_plur.png"" class=""stim-image"" alt=""hiwen_plur.png"">
      </div>","0","6","2.1.0","25137","","","passive_exposure","stage1","hiwen","true","dup","NoExposure","23yqor5uvd","","","","","","","","","","","","","","","","","","",""
"html-button-response","4615","
      <div class=""trial-box"">
        <img src=""images/nuwik_sing.png"" class=""stim-image"" alt=""nuwik_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","7","2.1.0","29753","","","forced_choice","stage1","nuwik","false","","NoExposure","23yqor5uvd","nuwik","niwuk","0","false","0","","","","","","","","","","","","","",""
"html-button-response","null","
        <div class=""trial-box feedback-box feedback-incorrect"">
          <p>✗ Incorrect</p>
          <p>The correct answer was: <strong>nuwik</strong></p>
        </div>","null","8","2.1.0","31761","","","feedback","stage1","","","","NoExposure","23yqor5uvd","","","","","","","","","","","","","","","","","","",""
"html-button-response","3438","
      <div class=""trial-box"">
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","9","2.1.0","35201","","","forced_choice","stage1","takoles","false","","NoExposure","23yqor5uvd","takoles","katoles","0","true","1","","","","","","","","","","","","","",""
